"","season","week","homeTeam","awayTeam","awayDefPoints","homeDefPoints","awayOffPoints","homeOffPoints"
"1",1999,1,"PHI","ARI",0,0,26,24
"2",1999,1,"IND","BUF",0,7,13,24
"3",1999,1,"NO","CAR",0,7,10,13
"4",1999,1,"TEN","CIN",0,0,34,34
"5",1999,1,"WAS","DAL",0,0,42,34
"6",1999,1,"SEA","DET",0,7,27,14
"7",1999,1,"CHI","KC",7,0,10,20
"8",1999,1,"DEN","MIA",7,0,31,21
"9",1999,1,"ATL","MIN",0,0,17,14
"10",1999,1,"NYJ","NE",7,7,23,21
"11",1999,1,"TB","NYG",14,0,3,13
"12",1999,1,"GB","LV",0,0,24,28
"13",1999,1,"CLE","PIT",0,0,44,0
"14",1999,1,"JAX","SF",0,14,3,26
"15",1999,2,"MIA","ARI",7,0,9,19
"16",1999,2,"DAL","ATL",0,7,7,17
"17",1999,2,"TEN","CLE",0,0,10,24
"18",1999,2,"KC","DEN",0,0,10,26
"19",1999,2,"DET","GB",0,0,13,24
"20",1999,2,"NE","IND",0,0,28,31
"21",1999,2,"CAR","JAX",0,0,23,21
"22",1999,2,"SF","NO",0,7,21,21
"23",1999,2,"BUF","NYJ",0,0,3,17
"24",1999,2,"MIN","LV",0,0,23,17
"25",1999,2,"BAL","PIT",0,0,23,20
"26",1999,2,"CIN","LAC",7,0,26,7
"27",1999,2,"CHI","SEA",0,0,14,13
"28",1999,2,"PHI","TB",0,0,20,3
"29",1999,2,"NYG","WAS",7,0,45,21
"30",1999,3,"LA","ATL",0,0,7,35
"31",1999,3,"LV","CHI",0,0,17,24
"32",1999,3,"CAR","CIN",0,0,3,27
"33",1999,3,"BAL","CLE",0,0,10,17
"34",1999,3,"TB","DEN",0,0,10,13
"35",1999,3,"KC","DET",0,0,21,31
"36",1999,3,"LAC","IND",0,7,27,10
"37",1999,3,"GB","MIN",0,7,20,16
"38",1999,3,"NE","NYG",0,0,14,16
"39",1999,3,"BUF","PHI",0,0,0,26
"40",1999,3,"PIT","SEA",14,0,15,10
"41",1999,3,"ARI","SF",0,0,24,10
"42",1999,3,"JAX","TEN",0,7,20,10
"43",1999,3,"NYJ","WAS",0,0,27,20
"44",1999,4,"DAL","ARI",0,14,7,21
"45",1999,4,"ATL","BAL",0,0,20,13
"46",1999,4,"MIA","BUF",7,0,16,19
"47",1999,4,"WAS","CAR",0,0,37,38
"48",1999,4,"PIT","JAX",0,0,13,3
"49",1999,4,"LAC","KC",0,0,14,21
"50",1999,4,"CLE","NE",0,0,20,7
"51",1999,4,"CHI","NO",0,0,10,14
"52",1999,4,"DEN","NYJ",0,0,21,13
"53",1999,4,"SEA","LV",0,0,21,23
"54",1999,4,"NYG","PHI",7,0,6,16
"55",1999,4,"CIN","LA",7,0,31,10
"56",1999,4,"MIN","TB",0,0,14,21
"57",1999,4,"SF","TEN",0,0,23,24
"58",1999,5,"NO","ATL",0,0,20,17
"59",1999,5,"TEN","BAL",0,0,9,14
"60",1999,5,"MIN","CHI",7,0,17,22
"61",1999,5,"CLE","CIN",0,0,20,17
"62",1999,5,"PHI","DAL",0,0,10,13
"63",1999,5,"LV","DEN",0,0,16,13
"64",1999,5,"NYJ","JAX",0,0,16,6
"65",1999,5,"IND","MIA",0,0,33,31
"66",1999,5,"KC","NE",0,0,14,16
"67",1999,5,"ARI","NYG",0,0,3,14
"68",1999,5,"BUF","PIT",0,0,21,24
"69",1999,5,"DET","LAC",7,0,13,10
"70",1999,5,"LA","SF",7,0,13,42
"71",1999,5,"GB","TB",0,0,23,26
"72",1999,6,"SF","CAR",0,14,31,16
"73",1999,6,"JAX","CLE",0,0,7,23
"74",1999,6,"NYG","DAL",0,7,10,6
"75",1999,6,"DEN","GB",0,0,10,31
"76",1999,6,"NYJ","IND",0,0,16,13
"77",1999,6,"NE","MIA",0,14,32,16
"78",1999,6,"DET","MIN",0,7,24,18
"79",1999,6,"BUF","LV",0,0,20,14
"80",1999,6,"CHI","PHI",0,0,20,16
"81",1999,6,"CIN","PIT",0,0,17,3
"82",1999,6,"LAC","SEA",0,0,10,13
"83",1999,6,"ATL","LA",7,0,34,13
"84",1999,6,"NO","TEN",7,0,17,20
"85",1999,6,"ARI","WAS",7,0,17,10
"86",1999,7,"PIT","ATL",0,0,7,13
"87",1999,7,"SEA","BUF",0,0,17,26
"88",1999,7,"TB","CHI",0,0,3,6
"89",1999,7,"IND","CIN",0,0,10,31
"90",1999,7,"LA","CLE",0,0,3,34
"91",1999,7,"NE","DEN",0,0,23,24
"92",1999,7,"CAR","DET",0,0,24,9
"93",1999,7,"LAC","GB",0,0,31,3
"94",1999,7,"BAL","KC",14,0,21,7
"95",1999,7,"NYG","NO",0,0,3,31
"96",1999,7,"LV","NYJ",0,0,23,24
"97",1999,7,"MIA","PHI",7,0,6,16
"98",1999,7,"MIN","SF",7,0,9,38
"99",1999,7,"DAL","WAS",0,7,20,31
"100",1999,8,"BAL","BUF",0,0,13,10
"101",1999,8,"ATL","CAR",0,0,20,27
"102",1999,8,"WAS","CHI",0,7,21,41
"103",1999,8,"NO","CLE",0,0,21,16
"104",1999,8,"IND","DAL",0,0,24,33
"105",1999,8,"CIN","JAX",0,0,41,10
"106",1999,8,"LV","MIA",0,0,16,9
"107",1999,8,"DEN","MIN",7,0,17,17
